Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Slow,N/A,0,10259495,10424668,10368443
Fast,1,0,59825430,70828639,63784053
Fast,2,0,65957708,79740759,71458983
Fast,4,0,66775191,78836603,71436772
Fast,8,0,58196450,70549159,63067571
Fast,16,0,60327435,85295757,70153447
Slow,N/A,5,2094354,2120786,2109196
Fast,1,5,5253677,5602273,5410734
Fast,2,5,5290503,5488020,5373060
Fast,4,5,5339478,5746535,5498738
Fast,8,5,5267471,5461744,5360317
Fast,16,5,5155040,5587211,5370301
Slow,N/A,10,1029828,1074839,1058250
Fast,1,10,2412512,2473955,2443317
Fast,2,10,2421776,2533892,2493153
Fast,4,10,2452784,2528568,2486689
Fast,8,10,2399966,2423910,2411726
Fast,16,10,2335782,2527622,2445536
Slow,N/A,50,220164,237651,228871
Fast,1,50,438217,456933,450377
Fast,2,50,457063,458804,457985
Fast,4,50,448211,460304,452790
Fast,8,50,446621,463780,457918
Fast,16,50,447531,466049,455413
Slow,N/A,100,120204,128971,124894
Fast,1,100,227488,241388,233926
Fast,2,100,234903,245024,239386
Fast,4,100,222422,238193,231692
Fast,8,100,220387,238092,229465
Fast,16,100,228178,235819,232711
Slow,N/A,500,40114,46712,43237
Fast,1,500,65198,68492,66856
Fast,2,500,62945,67269,64756
Fast,4,500,65151,67727,66533
Fast,8,500,65312,71475,68758
Fast,16,500,64802,69459,67442
Slow,N/A,2001,17939,21239,19200
Fast,1,2001,27092,30782,28459
Fast,2,2001,27537,33752,31437
Fast,4,2001,28317,30569,29172
Fast,8,2001,28543,31278,30364
Fast,16,2001,28262,32377,30093
