Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,1,0,1423304,1437516,1430222
Slow,1,0,1127211,1150106,1136828
Fast,2,0,1396962,1428272,1408160
Slow,2,0,1127911,1141701,1134899
Fast,4,0,1410870,1428750,1418881
Slow,4,0,1130030,1159154,1141531
Fast,8,0,1475832,1617745,1550280
Slow,8,0,1198574,1225008,1211519
Fast,16,0,1409487,1448401,1431397
Slow,16,0,1139949,1177919,1162932
Fast,1,5,397708,477896,433481
Slow,1,5,344037,355914,350612
Fast,2,5,404718,408159,406844
Slow,2,5,341676,344803,343730
Fast,4,5,409369,416197,411815
Slow,4,5,345400,352192,349794
Fast,8,5,406445,418881,412658
Slow,8,5,339032,345426,341167
Fast,16,5,404131,410389,408018
Slow,16,5,339511,348452,344583
Fast,1,500,156343,169056,160807
Slow,1,500,144129,160355,153998
Fast,2,500,155229,167848,160006
Slow,2,500,136973,163907,146907
Fast,4,500,154486,168577,159961
Slow,4,500,138519,152726,143699
Fast,8,500,156737,166177,160160
Slow,8,500,143337,156501,147866
Fast,16,500,156168,169510,160840
Slow,16,500,144374,160563,150066
Fast,1,1000,152766,163550,157074
Slow,1,1000,136471,150471,141805
Fast,2,1000,149749,164369,156714
Slow,2,1000,143133,157159,148279
Fast,4,1000,157511,168976,163075
Slow,4,1000,141583,154559,146478
Fast,8,1000,160005,168793,164522
Slow,8,1000,141596,152865,146644
Fast,16,1000,149619,174586,160563
Slow,16,1000,142011,158396,147690
Fast,1,2000,155742,165794,161460
Slow,1,2000,138911,152773,143618
Fast,2,2000,153071,169328,162400
Slow,2,2000,136582,153448,144294
Fast,4,2000,154079,170134,160272
Slow,4,2000,139259,153670,144519
Fast,8,2000,176077,185450,182262
Slow,8,2000,145114,159093,150505
Fast,16,2000,149642,163350,155069
Slow,16,2000,136831,153871,143967
Fast,1,10000,151152,156929,153164
Slow,1,10000,134694,144403,139474
Fast,2,10000,156351,164821,159623
Slow,2,10000,139983,152688,144335
Fast,4,10000,152933,160404,157177
Slow,4,10000,141142,148698,145796
Fast,8,10000,151290,160155,154446
Slow,8,10000,136738,146145,141224
Fast,16,10000,152573,159342,156145
Slow,16,10000,135574,145842,140707
Fast,1,20001,146136,158484,150923
Slow,1,20001,140472,147314,143236
Fast,2,20001,155629,159210,157011
Slow,2,20001,135598,149907,143525
Fast,4,20001,146369,158094,152328
Slow,4,20001,135578,145474,139512
Fast,8,20001,150298,162661,155049
Slow,8,20001,138013,145741,141137
Fast,16,20001,149145,158875,154957
Slow,16,20001,133621,146997,139925
