Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,1,0,2870599,2918265,2898196
Slow,1,0,2343953,2359992,2350208
Fast,2,0,2891781,2899915,2895650
Slow,2,0,2247341,2270979,2262556
Fast,4,0,2848998,2880186,2862573
Slow,4,0,2261637,2323275,2294816
Fast,8,0,2905455,2942730,2927320
Slow,8,0,2293095,2342373,2325717
Fast,16,0,2823441,2867801,2847720
Slow,16,0,2340006,2363598,2353829
Fast,1,5,839430,858061,847337
Slow,1,5,709671,716756,713388
Fast,2,5,829033,842808,837935
Slow,2,5,705014,715134,709680
Fast,4,5,829331,848011,838061
Slow,4,5,703135,720127,710455
Fast,8,5,837616,848471,841395
Slow,8,5,693311,707095,698685
Fast,16,5,841197,844465,842976
Slow,16,5,699817,711302,705476
Fast,1,500,312306,330434,320469
Slow,1,500,285606,300007,290651
Fast,2,500,316385,328585,320719
Slow,2,500,282457,296512,289457
Fast,4,500,311303,323252,315522
Slow,4,500,291100,299329,293928
Fast,8,500,308363,323506,314113
Slow,8,500,281439,296726,287583
Fast,16,500,314386,319771,316828
Slow,16,500,279370,288972,283238
Fast,1,1000,312893,321703,315861
Slow,1,1000,282401,292853,287423
Fast,2,1000,303421,318967,312596
Slow,2,1000,278384,295950,284705
Fast,4,1000,307639,330157,316071
Slow,4,1000,283581,296287,289096
Fast,8,1000,308599,317572,314041
Slow,8,1000,274180,299288,285691
Fast,16,1000,303960,315637,308632
Slow,16,1000,280957,294799,287198
Fast,1,2000,306390,319691,312440
Slow,1,2000,282207,292336,286277
Fast,2,2000,307739,318967,312771
Slow,2,2000,278926,292156,285345
Fast,4,2000,304898,315428,311640
Slow,4,2000,279832,292275,287164
Fast,8,2000,306852,317690,310755
Slow,8,2000,280579,296936,287826
Fast,16,2000,308873,318884,313325
Slow,16,2000,279728,293052,285223
Fast,1,10000,301002,312735,308395
Slow,1,10000,274749,296563,283794
Fast,2,10000,317435,321184,319343
Slow,2,10000,271478,290574,279467
Fast,4,10000,306325,320710,311271
Slow,4,10000,283821,297674,289710
Fast,8,10000,304740,308745,306154
Slow,8,10000,277995,290139,282831
Fast,16,10000,307649,328019,315987
Slow,16,10000,278552,294051,284344
Fast,1,40001,299881,311923,307312
Slow,1,40001,270435,286165,279729
Fast,2,40001,301343,309116,304001
Slow,2,40001,273496,288131,278889
Fast,4,40001,307541,317466,313130
Slow,4,40001,276929,291623,282164
Fast,8,40001,301986,311543,306261
Slow,8,40001,274056,295004,282021
Fast,16,40001,302995,312395,306813
Slow,16,40001,270755,280227,275074
