Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,1,0,21484998,26241927,23760856
Slow,1,0,330084,338279,334542
Fast,2,0,9577204,9920471,9729022
Slow,2,0,318842,334070,325336
Fast,4,0,5149168,5269689,5218887
Slow,4,0,316559,327274,321979
Fast,8,0,3079450,3141839,3113429
Slow,8,0,307784,316596,311786
Fast,16,0,3023849,3036171,3028870
Slow,16,0,320295,325679,323096
Fast,1,5,3287677,3473115,3357721
Slow,1,5,96581,104709,99754
Fast,2,5,1604812,1614097,1610581
Slow,2,5,95776,101405,99095
Fast,4,5,854328,870954,862053
Slow,4,5,94475,98535,96967
Fast,8,5,498134,510980,502619
Slow,8,5,98353,104582,100970
Fast,16,5,507183,510599,509233
Slow,16,5,97419,103482,100834
Fast,1,500,64348,66000,65099
Slow,1,500,35896,42659,38704
Fast,2,500,34352,37250,35620
Slow,2,500,37922,40367,39349
Fast,4,500,17668,20557,18749
Slow,4,500,38511,40084,39539
Fast,8,500,9984,14422,11766
Slow,8,500,37438,40398,39049
Fast,16,500,12408,13787,12916
Slow,16,500,38313,43610,40821
Fast,1,5001,40711,42718,41527
Slow,1,5001,37199,38576,37790
Fast,2,5001,21714,26617,23532
Slow,2,5001,36440,39036,37412
Fast,4,5001,11101,14753,12450
Slow,4,5001,34723,40750,37392
Fast,8,5001,6691,9912,7785
Slow,8,5001,35388,40422,37511
Fast,16,5001,6544,11164,8230
Slow,16,5001,34961,41514,37554
