Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,1,0,1349602,1908160,1542865
Slow,1,0,1064877,1158853,1106900
Fast,2,0,1159515,1186622,1175733
Slow,2,0,1052160,1078051,1063423
Fast,4,0,1165504,1195783,1176637
Slow,4,0,1065311,1070135,1067682
Fast,8,0,1137417,1165899,1154423
Slow,8,0,1065166,1084231,1072973
Fast,16,0,1164139,1169916,1166603
Slow,16,0,1047027,1068844,1059853
Fast,1,5,404755,529118,448727
Slow,1,5,339620,358115,347652
Fast,2,5,271644,286471,277541
Slow,2,5,351635,363144,359250
Fast,4,5,258123,264068,260905
Slow,4,5,356733,369736,361623
Fast,8,5,280560,281495,280962
Slow,8,5,340943,347317,343117
Fast,16,5,286187,296891,290162
Slow,16,5,340996,365895,350913
Fast,1,500,168936,171257,169970
Slow,1,500,159996,162950,161162
Fast,2,500,91528,96984,93582
Slow,2,500,157291,168595,162291
Fast,4,500,56773,77270,65440
Slow,4,500,170794,174229,172325
Fast,8,500,42873,52759,47811
Slow,8,500,158191,163795,160687
Fast,16,500,29967,38901,33493
Slow,16,500,158110,171817,164619
Fast,1,1000,163599,173308,167014
Slow,1,1000,164001,164950,164377
Fast,2,1000,89672,94480,91551
Slow,2,1000,152527,159505,156051
Fast,4,1000,47168,51822,48783
Slow,4,1000,156638,163909,160475
Fast,8,1000,29947,34469,31599
Slow,8,1000,157130,161764,159700
Fast,16,1000,30676,31513,30986
Slow,16,1000,155643,161676,158731
Fast,1,2000,174387,176702,175283
Slow,1,2000,157930,161020,159284
Fast,2,2000,90737,109310,97667
Slow,2,2000,157122,160147,158889
Fast,4,2000,45412,51772,47912
Slow,4,2000,147077,172962,159323
Fast,8,2000,39140,48271,42333
Slow,8,2000,165105,166236,165798
Fast,16,2000,33969,43640,38907
Slow,16,2000,156742,171407,163017
Fast,1,10000,167246,173044,169458
Slow,1,10000,152118,154494,153212
Fast,2,10000,88199,94492,91461
Slow,2,10000,151478,156905,153764
Fast,4,10000,52489,55776,53783
Slow,4,10000,155032,163138,157942
Fast,8,10000,29856,33953,31587
Slow,8,10000,151004,155840,154224
Fast,16,10000,30974,34710,32663
Slow,16,10000,160096,167071,162680
Fast,1,20001,162225,165651,163961
Slow,1,20001,151753,157211,154041
Fast,2,20001,86481,90736,89158
Slow,2,20001,149061,158868,154622
Fast,4,20001,50743,57368,53908
Slow,4,20001,149074,156251,152604
Fast,8,20001,28995,33828,31193
Slow,8,20001,153068,155801,154065
Fast,16,20001,32151,34285,32919
Slow,16,20001,149301,158533,154370
