Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,1,0,21657890,32350599,25359557
Slow,1,0,328111,339317,331896
Fast,2,0,9880411,10155508,9977858
Slow,2,0,318681,321703,320446
Fast,4,0,5134865,5603591,5357791
Slow,4,0,323667,333582,329100
Fast,8,0,2890028,3000750,2953094
Slow,8,0,329110,334956,331890
Fast,16,0,3026452,3125955,3066887
Slow,16,0,326113,330455,327853
Fast,1,5,3320895,3513283,3402956
Slow,1,5,98070,99789,98833
Fast,2,5,1623438,1639260,1630058
Slow,2,5,103481,107002,105602
Fast,4,5,859789,871847,864182
Slow,4,5,96350,102039,99009
Fast,8,5,476091,513419,496230
Slow,8,5,97146,100126,98508
Fast,16,5,494838,497188,496024
Slow,16,5,96553,102238,99796
Fast,1,10,1558201,1613114,1579609
Slow,1,10,68392,74424,70575
Fast,2,10,747886,751786,750418
Slow,2,10,67469,71953,69344
Fast,4,10,398773,405510,403258
Slow,4,10,73300,76666,75426
Fast,8,10,236237,242016,238675
Slow,8,10,68875,76939,72032
Fast,16,10,232652,246541,239171
Slow,16,10,69790,72961,70866
Fast,1,50,319663,326798,323237
Slow,1,50,43499,46220,44558
Fast,2,50,155329,163110,158568
Slow,2,50,44371,48380,46889
Fast,4,50,83493,88048,85097
Slow,4,50,43700,50085,47198
Fast,8,50,48407,49400,48876
Slow,8,50,42674,46404,44155
Fast,16,50,48543,50672,49440
Slow,16,50,44627,45648,45095
Fast,1,100,171282,176110,174033
Slow,1,100,39645,43687,41442
Fast,2,100,86938,88803,87633
Slow,2,100,40290,43254,41739
Fast,4,100,46066,47047,46557
Slow,4,100,39799,44512,41464
Fast,8,100,26139,31900,28235
Slow,8,100,40143,43848,41519
Fast,16,100,26440,27127,26746
Slow,16,100,39658,45079,41680
Fast,1,500,64301,67383,65525
Slow,1,500,38409,40622,39779
Fast,2,500,34506,36972,35977
Slow,2,500,37051,40958,38457
Fast,4,500,17576,19426,18370
Slow,4,500,36596,42681,38671
Fast,8,500,10434,14580,11884
Slow,8,500,38809,42614,40440
Fast,16,500,10078,13860,11634
Slow,16,500,38736,40546,39463
Fast,1,5001,41665,44339,43038
Slow,1,5001,35225,41301,37989
Fast,2,5001,21444,25406,23155
Slow,2,5001,38497,43321,40489
Fast,4,5001,12217,15112,13604
Slow,4,5001,36383,41423,38585
Fast,8,5001,6776,10986,8285
Slow,8,5001,35609,40994,38460
Fast,16,5001,6451,10740,8039
Slow,16,5001,36328,41470,38530
