Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Slow,N/A,0,321580,336623,328400
Fast,1,0,528092,538517,534240
Fast,2,0,398636,416410,407177
Fast,4,0,358473,384887,374433
Fast,8,0,343224,362754,351899
Fast,16,0,350578,382561,364078
Slow,N/A,5,82538,91520,86148
Fast,1,5,119073,122742,120431
Fast,2,5,101129,107448,103400
Fast,4,5,97388,105987,100346
Fast,8,5,100344,109528,105756
Fast,16,5,111770,117554,114835
Slow,N/A,10,48997,54075,51007
Fast,1,10,76952,79190,78041
Fast,2,10,57476,63580,59646
Fast,4,10,51917,56782,55019
Fast,8,10,54634,60280,56783
Fast,16,10,54252,60053,56466
Slow,N/A,50,24660,30485,27080
Fast,1,50,38006,41429,39175
Fast,2,50,26579,29360,27731
Fast,4,50,18819,20995,19624
Fast,8,50,15722,19580,17223
Fast,16,50,15632,19437,16946
Slow,N/A,100,21150,26278,23546
Fast,1,100,34470,36914,35388
Fast,2,100,22200,27736,24059
Fast,4,100,14955,18322,16547
Fast,8,100,11716,15769,13234
Fast,16,100,11767,16143,13250
Slow,N/A,500,19043,21955,20250
Fast,1,500,29759,35263,32535
Fast,2,500,18183,20965,19385
Fast,4,500,13206,15255,14485
Fast,8,500,11256,12051,11598
Fast,16,500,11176,11993,11598
Slow,N/A,2001,19400,22142,20552
Fast,1,2001,30874,32391,31804
Fast,2,2001,18666,21929,20277
Fast,4,2001,13166,14363,13828
Fast,8,2001,7786,10676,9244
Fast,16,2001,9341,11858,10868
